source_file,custom_building_id,story_level,drift_ratio_case_0,drift_ratio_case_1,drift_ratio_case_2,drift_ratio_case_3
data0.json,15,1,0.009654578409237983,6.058227071092962e-05,0.0003602983871870014,0.00778158054993798
data0.json,15,2,0.01038128438096286,0.00015396676789841508,0.00023091021183756954,0.012506404095381141
data0.json,15,3,0.016022646539765862,0.0011316235768436026,0.0004955633392274913,0.015226523466202145
data0.json,15,4,0.018454908131773508,0.0010285973004818456,0.0007455423546590556,0.01758340462668857
data0.json,15,5,0.02036280908929393,0.0017791449214639777,0.0008644179380699035,0.020320974692405985
data0.json,16,0,0.0,0.0,0.0,0.0
data0.json,16,1,0.0082825030746369,0.0015230808635658176,0.0019084192097531525,0.004355458082555666
data0.json,16,2,0.009579332575704964,0.0015626522613588812,0.002175804674743894,0.007195050151936077
data0.json,16,3,0.012176295395796595,0.002312157534831354,0.002853069074394975,0.00915456172260471
data0.json,16,4,0.013950226131666146,0.0028953648674508313,0.003377892706315008,0.011086614154950275
data0.json,16,5,0.014423522487383052,0.0031126398756432415,0.0033997717094951295,0.012937661306547232
data0.json,16,6,0.01671455670715487,0.0038300360259979284,0.004226900673247638,0.014445075553421838
data0.json,16,7,0.01576863449268905,0.0034413045198228138,0.004032624737859795,0.01433635500963576
data0.json,16,8,0.01886726060396412,0.004463116161449039,0.004705700701486731,0.01892802298664057
data0.json,16,9,0.018803007140137298,0.004233243245172006,0.0047108356703146675,0.01863531531482605
data0.json,16,10,0.02325392084489518,0.005653138141356586,0.0055860651912525575,0.023943608515161564
data0.json,17,0,0.0,0.0,0.0,0.0
data0.json,17,1,0.009545376999379603,0.0008202242028308189,0.0008464846554986565,0.00798239116911745
data0.json,17,2,0.014202294283640848,0.00015021724391376483,0.000890453456749088,0.014047212666794564
data0.json,17,3,0.019485839919932288,0.00035646044915102704,0.001834427187393552,0.019441794321972794
data0.json,17,4,0.022862220250010844,0.001024517602303692,0.002097881703653108,0.0228331791727827
data0.json,18,0,0.0,0.0,0.0,0.0
data0.json,18,1,0.009973098135025109,0.0010481212624688589,0.0007746705834713708,0.009454391410883788
data0.json,18,2,0.01160284299907791,0.0005593627722787095,0.0008297377090141653,0.01128987132681572
data0.json,18,3,0.016181782232022598,0.001382536587863607,0.0006157845502294769,0.015711048209252867
data0.json,18,4,0.01885232101012626,0.0016930999198237842,0.0022719563133958265,0.01912749981462579
data0.json,19,0,0.0,0.0,0.0,0.0
data0.json,19,1,0.005696900643174448,0.0022425791946757423,4.396154868095702e-06,0.009942287038110046
data0.json,19,2,0.00928132426965372,0.0011299792367736497,0.00015209979800573514,0.013945926271254693
data0.json,19,3,0.011948769016856382,0.001719865222941425,0.00017495915110731042,0.016379667165281265
data0.json,19,4,0.014632552961615529,0.0021316518040769335,0.0001483104496155242,0.017514281221392067
data0.json,19,5,0.018844397858810896,0.0026693104612200143,0.0003324776194084248,0.02198943019595208
data0.json,19,6,0.01941418106724185,0.001525091158254893,0.00010534672132598556,0.02188473010051423
data0.json,19,7,0.02004468891526856,0.0026860618348384883,4.691171404461318e-05,0.02111534813971845
data0.json,19,8,0.022112251062914912,0.00263329127473564,0.0002557058285051421,0.022963963884353584
data0.json,19,9,0.023013238520400082,0.0020876409636823912,0.0002877555770637139,0.02351692676378803
data0.json,19,10,0.02940946680606615,0.0028757656769405155,0.00045731512780301895,0.0284135802231109
data0.json,20,0,0.0,0.0,0.0,0.0
data0.json,20,1,0.011990710520953653,0.003490535851780622,0.0037464457230552144,0.011820685786271197
data0.json,20,2,0.01889983197876766,0.005495898527594306,0.005861424917505382,0.01952516323773362
data0.json,20,3,0.024700485456529645,0.007269924758049122,0.007426817473442783,0.024915867726974496
data0.json,21,0,0.0,0.0,0.0,0.0
data0.json,21,1,0.011189158754460476,0.0004701666666373085,0.0005491539033451059,0.011516115042615346
data0.json,21,2,0.02499949393763791,0.0011699589154710564,0.0009614074521574579,0.024978237254272524
data0.json,22,0,0.0,0.0,0.0,0.0
data0.json,22,1,0.007828624850250149,0.001471279695193452,0.0008358487262715449,0.008255938406330616
data0.json,22,2,0.013053974255604712,0.001622806291008202,0.0011422696565091095,0.013062459218745857
data0.json,22,3,0.015757004835415096,0.0027508393753750576,0.0013739649482935171,0.01618128308560143
data0.json,22,4,0.018859258344499003,0.0014783457950000168,0.0017045217190154519,0.019901849437303852
data0.json,22,5,0.02270130556887461,0.004412401458301209,0.00184200051207774,0.02245478649949381
data0.json,22,6,0.027518842452013997,0.004776740777023953,0.00257906016862506,0.027844360034350178
data0.json,22,7,0.02741735316695593,0.0051004185801609625,0.0028403133054270193,0.02802748988951271
data0.json,23,0,0.0,0.0,0.0,0.0
data0.json,23,1,0.014338116249140815,0.002580291024385619,0.002509324228148885,0.013495595925779792
data0.json,23,2,0.02121925475700764,0.00407467124073997,0.0039812023024417866,0.021358127912016498
data0.json,24,0,0.0,0.0,0.0,0.0
data0.json,24,1,0.004610283087947931,0.0009427678457421179,0.0006670553080065985,0.005802155084074323
data0.json,24,2,0.008226464549286161,0.00032916060021340225,0.0011243761481256468,0.009158730429978128
data0.json,24,3,0.01083206278735656,0.0015905447559950426,0.0014142001539505236,0.011884990053376773
